, F-score
SMC_117,0.30434782608695654
SMC_103,0.44961240310077516
SMC_249,0.2522522522522523
SMC_261,0.21782178217821782
SMC_275,0.41904761904761906
SMC_063,0.3050847457627119
SMC_088,0.20740740740740743
SMC_089,0.4807692307692307
SMC_076,0.19047619047619047
SMC_274,0.9032258064516129
SMC_260,0.43902439024390244
SMC_248,0.32335329341317365
SMC_116,0.15789473684210523
SMC_100,0.34920634920634924
SMC_114,0.31666666666666665
SMC_276,0.9879518072289156
SMC_262,0.4197530864197531
SMC_289,0.9147286821705426
SMC_048,0.1610738255033557
SMC_074,0.435483870967742
SMC_060,0.39344262295081966
SMC_061,0.15094339622641512
SMC_075,0.2838709677419355
SMC_288,0.8396946564885497
SMC_263,0.24489795918367344
SMC_277,0.11940298507462688
SMC_101,0.35348837209302325
SMC_105,0.3016759776536313
SMC_111,0.3287671232876712
SMC_139,0.12765957446808512
SMC_273,0.28571428571428564
SMC_071,0.4556962025316456
SMC_065,0.5342465753424657
SMC_059,0.3851851851851852
SMC_058,0.22047244094488186
SMC_064,0.39473684210526316
SMC_266,0.3157894736842105
SMC_272,0.6224489795918366
SMC_104,0.140625
SMC_106,0.3114754098360656
SMC_264,0.3971631205673759
SMC_258,0.31578947368421056
SMC_066,0.10909090909090909
SMC_072,0.2758620689655172
SMC_099,0.28571428571428575
SMC_098,0.5982905982905983
SMC_073,0.2678571428571429
SMC_067,0.509090909090909
SMC_259,0.20512820512820512
SMC_271,0.7067669172932332
SMC_265,0.48958333333333337
SMC_113,0.2549019607843137
SMC_148,0.21238938053097345
SMC_174,0.3382352941176471
SMC_202,0.09090909090909091
SMC_216,0.23140495867768593
SMC_028,0.5234899328859061
SMC_014,0.6415094339622641
SMC_015,0.23622047244094488
SMC_001,0.6031746031746031
SMC_217,0.19999999999999998
SMC_203,0.09009009009009009
SMC_161,0.1864406779661017
SMC_175,0.12903225806451613
SMC_149,0.288659793814433
SMC_188,0.267515923566879
SMC_229,0.020618556701030927
SMC_215,0.19672131147540986
SMC_017,0.28318584070796465
SMC_003,0.3503649635036496
SMC_002,0.273972602739726
SMC_016,0.26143790849673204
SMC_214,0.11214953271028039
SMC_176,0.24000000000000002
SMC_166,0.5477707006369426
SMC_172,0.2456140350877193
SMC_199,0.18803418803418803
SMC_204,0.14634146341463414
SMC_012,0.27777777777777773
SMC_006,0.41221374045801523
SMC_007,0.24761904761904763
SMC_013,0.6115702479338843
SMC_239,0.16666666666666669
SMC_205,0.5131578947368421
SMC_211,0.2982456140350877
SMC_198,0.22368421052631576
SMC_173,0.2553191489361702
SMC_167,0.1739130434782609
SMC_171,0.20634920634920634
SMC_159,0.32500000000000007
SMC_207,0.4155844155844156
SMC_213,0.19402985074626866
SMC_005,0.22641509433962262
SMC_011,0.4782608695652174
SMC_038,0.40650406504065045
SMC_010,0.23140495867768596
SMC_004,0.3484848484848485
SMC_212,0.2325581395348837
SMC_206,0.2452830188679245
SMC_158,0.13793103448275862
SMC_170,0.3050847457627119
SMC_169,0.425531914893617
SMC_182,0.28571428571428575
SMC_223,0.2312925170068027
SMC_237,0.1927710843373494
SMC_009,0.3537414965986395
SMC_021,0.16176470588235295
SMC_035,0.1694915254237288
SMC_034,0.7160493827160495
SMC_008,0.5549132947976878
SMC_236,0.21276595744680848
SMC_222,0.21487603305785122
SMC_197,0.1346153846153846
SMC_140,0.3695652173913044
SMC_154,0.19847328244274812
SMC_168,0.2222222222222222
SMC_142,0.21311475409836067
SMC_181,0.2269503546099291
SMC_195,0.5521472392638036
SMC_208,0.15384615384615385
SMC_220,0.1680672268907563
SMC_036,0.453781512605042
SMC_022,0.3759398496240602
SMC_023,0.22807017543859645
SMC_037,0.20183486238532108
SMC_221,0.20952380952380953
SMC_235,0.2654867256637168
SMC_209,0.2375
SMC_194,0.14173228346456693
SMC_157,0.2302158273381295
SMC_143,0.34883720930232565
SMC_147,0.046875
SMC_153,0.65625
SMC_184,0.26785714285714285
SMC_190,0.2424242424242424
SMC_225,0.08771929824561404
SMC_219,0.3577235772357723
SMC_033,0.3380281690140845
SMC_027,0.17821782178217824
SMC_026,0.28571428571428575
SMC_032,0.41558441558441556
SMC_224,0.18556701030927836
SMC_152,0.272
SMC_146,0.10810810810810811
SMC_150,0.6
SMC_178,0.1386138613861386
SMC_193,0.38636363636363635
SMC_187,0.06451612903225806
SMC_226,0.20253164556962025
SMC_232,0.37037037037037035
SMC_024,0.7083333333333334
SMC_030,0.3937823834196892
SMC_018,0.4
SMC_019,0.375
SMC_227,0.23655913978494625
SMC_192,0.1111111111111111
SMC_179,0.1282051282051282
SMC_151,0.5934065934065934
SMC_254,0.17777777777777778
SMC_283,0.9369369369369368
SMC_042,0.3010752688172043
SMC_056,0.3333333333333333
SMC_095,0.5534591194968553
SMC_080,0.24000000000000002
SMC_057,0.1694915254237288
SMC_043,0.41269841269841273
SMC_282,0.6524064171122995
SMC_255,0.5411764705882354
SMC_241,0.23008849557522126
SMC_269,0.192090395480226
SMC_137,0.41935483870967744
SMC_109,0.34375
SMC_121,0.1473684210526316
SMC_135,0.34210526315789475
SMC_257,0.3841059602649007
SMC_243,0.22680412371134018
SMC_280,0.6322580645161291
SMC_069,0.7586206896551724
SMC_055,0.3571428571428571
SMC_041,0.2096774193548387
SMC_096,0.4878048780487805
SMC_082,0.65
SMC_054,0.3603603603603604
SMC_068,0.6115702479338844
SMC_281,0.8943089430894309
SMC_242,0.15483870967741936
SMC_256,0.2376237623762376
SMC_120,0.33043478260869563
SMC_124,0.1797752808988764
SMC_130,0.24390243902439024
SMC_118,0.19148936170212766
SMC_252,0.3715846994535519
SMC_285,0.34328358208955223
SMC_044,0.29813664596273287
SMC_093,0.7045454545454545
SMC_087,0.5346534653465346
SMC_086,0.3387096774193549
SMC_092,0.593939393939394
SMC_079,0.6666666666666667
SMC_051,0.18181818181818185
SMC_284,0.848
SMC_253,0.2909090909090909
SMC_119,0.20588235294117646
SMC_133,0.14285714285714285
SMC_127,0.2363636363636364
SMC_251,0.06756756756756757
SMC_279,0.9927007299270074
SMC_286,0.9739130434782608
SMC_047,0.28125
SMC_084,0.22018348623853212
SMC_085,0.21897810218978103
SMC_052,0.5210084033613445
SMC_046,0.09836065573770492
SMC_287,0.8592592592592593
SMC_278,0.9333333333333332
SMC_244,0.2818791946308725
SMC_126,0.20689655172413793
